district_number,area_name_fa,area_id,native_key,level,sale_history,sale_history_periods,sale_history_first_period,sale_history_last_period,sale_history_latest_sample_size,sale_history_latest_trust,rent_current,rent_current_period,rent_current_metrics,rent_current_sample_size,rent_history,rent_history_note,supply,supply_points,supply_latest_period,floor_area,floor_area_period,floor_area_listing_n,forecast,forecast_after_period,forecast_horizon_months,notes
13,منطقه 13,242b15af-a5fc-6303-cc74-5d9ab8437470,272905:13,MUNICIPAL_AREA,yes,60,1400-06,1405-05,9669,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,9669,yes,1405-05,6,ASKING_RENT present but empty
14,منطقه 14,fa66bf31-710b-be2b-defd-7dae7e1e1371,272905:14,MUNICIPAL_AREA,yes,60,1400-06,1405-05,12153,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,12153,yes,1405-05,6,ASKING_RENT present but empty
15,منطقه 15,3fa1da83-c366-bfd2-91cf-f7e44c86ed9c,272905:15,MUNICIPAL_AREA,yes,60,1400-06,1405-05,12675,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,12675,yes,1405-05,6,ASKING_RENT present but empty
16,منطقه 16,85a94198-ee48-2a86-2c76-6db3ab0e6822,272905:16,MUNICIPAL_AREA,yes,60,1400-06,1405-05,4378,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,4378,yes,1405-05,6,ASKING_RENT present but empty
17,منطقه 17,0f4e5ea7-940e-bf26-6074-ac7b3dd75317,272905:17,MUNICIPAL_AREA,yes,60,1400-06,1405-05,8478,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,8478,yes,1405-05,6,ASKING_RENT present but empty
18,منطقه 18,d0b9d990-5b5e-5625-112b-1a5f5b446501,272905:18,MUNICIPAL_AREA,yes,60,1400-06,1405-05,7132,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,7132,yes,1405-05,6,ASKING_RENT present but empty
19,منطقه 19,53b7a2a5-d503-16b5-4790-b5c2c786e5ff,272905:19,MUNICIPAL_AREA,yes,60,1400-06,1405-05,3527,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,3527,yes,1405-05,6,ASKING_RENT present but empty
20,منطقه 20,11381946-4708-82c0-d9c5-1e51c4cdb31e,272905:20,MUNICIPAL_AREA,yes,60,1400-06,1405-05,4046,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,10,1405-05,yes,1405-05,4046,yes,1405-05,6,ASKING_RENT present but empty
21,منطقه 21,e860034a-c7ae-0d72-ae12-45d668f20874,272905:21,MUNICIPAL_AREA,yes,60,1400-06,1405-05,12723,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,12723,yes,1405-05,6,ASKING_RENT present but empty
22,منطقه 22,2660254d-bc9f-c4eb-5ec4-f962a708cec2,272905:22,MUNICIPAL_AREA,yes,60,1400-06,1405-05,26176,DIRECT,no,,,,unknown,no rent-series endpoint is exposed by the public API (/area-series ignores metric=RENT); absence is not zero,yes,12,1405-05,yes,1405-05,26176,yes,1405-05,6,ASKING_RENT present but empty
